0,1,2,3,4,5,6,7,8
10,21,0,40,4,15,3,22,6
11,20,0,39,4,15,3,21,6
10,21,1,38,3,14,4,21,6
11,20,1,38,3,14,4,21,7
13,21,1,39,4,13,5,22,8
12,22,1,39,4,13,5,23,8
14,21,1,39,5,11,6,22,10
14,20,2,39,5,11,6,22,11
14,21,2,40,5,11,6,22,12
13,22,2,41,5,11,6,22,14
13,22,2,41,5,10,7,22,14
12,23,2,41,5,10,7,22,15
13,22,2,41,5,10,7,24,13
13,22,2,42,5,10,6,24,14
11,24,2,41,5,8,7,26,14
9,24,3,42,5,8,7,26,14
9,23,3,44,5,8,7,26,13
9,23,3,44,5,8,7,26,14
10,22,3,45,5,8,7,27,12
11,22,2,45,5,9,7,27,13
10,22,2,44,5,9,6,25,13
10,21,2,46,5,9,5,25,13
9,23,2,45,4,8,5,27,12
9,23,1,44,5,9,5,27,14
8,22,2,47,4,7,5,29,14
9,21,2,47,4,6,5,30,13
8,22,2,45,5,6,5,32,15
9,21,2,45,5,6,6,32,13
9,22,2,46,5,6,6,32,14
10,19,2,46,5,6,7,33,15
11,18,2,44,5,7,7,32,16
11,17,1,44,4,8,7,33,14
12,15,1,44,4,8,6,32,15
11,15,1,45,4,8,6,31,16
13,13,1,44,4,8,5,33,16
12,14,1,42,3,8,5,35,16
14,11,1,42,4,8,5,36,15
13,12,1,41,5,8,5,36,15
16,10,1,41,5,8,5,38,14
16,11,1,38,5,8,5,37,15
18,10,0,39,6,8,4,38,15
17,11,0,37,6,8,4,38,14
17,9,0,38,6,9,4,38,15
17,11,0,35,7,8,4,40,15
17,9,1,36,8,8,4,41,14
17,10,1,35,9,8,3,40,14
17,9,1,33,9,8,3,39,13
17,9,2,34,9,8,3,41,13
14,10,2,32,10,8,4,38,14
15,9,2,34,9,8,4,38,14
13,10,2,32,10,8,4,37,14
12,9,2,34,10,8,4,37,14
10,10,2,36,10,8,4,37,14
10,9,2,36,11,8,5,38,15
10,10,2,36,11,8,4,38,15
11,9,2,37,10,7,5,38,15
10,9,2,37,10,7,5,39,15
10,9,3,38,10,7,5,40,14
8,10,3,39,9,6,6,39,15
8,10,4,39,10,7,6,40,14
9,9,3,39,11,7,7,40,14
9,8,3,40,10,7,7,42,12
7,9,4,41,10,7,7,41,11
7,10,4,43,9,6,8,43,9
7,9,3,44,9,7,8,44,8
6,10,3,44,10,6,9,43,8
6,9,3,46,9,6,9,44,7
6,9,3,46,10,7,9,44,7
5,8,3,48,8,7,8,44,6
5,8,3,48,9,8,7,44,6
7,6,3,50,8,8,7,44,5
6,7,3,49,9,10,6,44,5
7,6,3,50,9,10,6,44,5
5,7,2,51,8,11,6,44,5
5,7,2,51,9,11,6,43,5
8,5,2,52,9,11,6,44,5
7,6,1,54,10,12,6,42,5
7,7,1,53,9,12,6,42,5
7,6,1,55,9,13,4,43,5
7,7,1,54,9,12,4,44,6
7,7,1,54,10,12,4,43,6
7,8,1,53,11,12,3,43,6
9,7,1,54,10,12,3,42,6
10,8,1,55,9,12,3,43,6
9,8,1,55,10,11,3,44,6
8,9,2,54,11,11,3,44,6
7,10,2,56,11,11,2,46,6
8,10,2,55,11,9,3,45,7
8,11,2,55,10,9,2,45,7
6,12,2,55,9,8,3,44,8
7,13,2,54,9,7,4,44,8
6,14,2,55,8,7,4,44,8
6,16,2,54,8,7,5,42,9
7,15,2,54,8,8,5,43,10
7,17,1,53,9,9,5,42,12
7,18,1,51,10,9,5,41,14
7,18,1,51,11,9,5,41,14
9,18,1,51,11,9,5,41,15
9,18,1,50,12,9,5,40,15
9,18,1,49,11,9,5,40,17
10,18,1,50,11,9,5,39,17
11,17,0,50,12,10,5,39,18
11,17,0,50,12,11,5,39,18
12,17,0,49,13,11,5,41,19
12,17,0,49,13,11,5,41,19
14,18,0,49,12,11,4,40,19
15,19,0,50,11,11,4,41,19
15,19,0,50,12,11,3,41,20
15,20,1,49,10,12,2,43,18
15,21,1,49,10,12,2,44,18
15,22,1,49,9,13,1,46,17
14,23,1,49,9,13,1,46,19
15,23,1,48,9,12,2,49,18
14,25,1,49,8,12,2,48,19
13,27,1,48,7,12,1,49,20
12,28,1,48,6,12,1,49,20
13,30,1,45,6,12,1,48,21
11,31,1,46,5,12,1,48,22
13,31,1,46,5,11,2,48,22
10,32,2,46,7,10,3,48,23
10,32,2,47,7,10,3,47,23
9,32,3,46,7,9,4,46,24
10,31,3,44,8,9,4,48,24
10,31,3,45,8,7,5,47,24
11,30,3,43,8,7,5,46,25
11,29,2,45,8,6,6,46,26
12,28,2,44,8,6,6,45,26
13,27,2,44,8,6,6,44,25
14,25,2,44,8,6,6,45,25
14,25,2,43,9,5,7,44,24
15,24,2,45,9,5,6,43,25
17,23,2,44,9,5,6,44,24
18,22,2,44,12,5,6,45,23
20,21,2,43,12,5,7,46,23
19,22,2,42,13,5,7,46,21
19,21,1,44,13,6,7,46,22
18,23,1,43,13,6,7,47,21
17,24,1,43,14,7,7,48,21
14,24,1,45,13,8,7,47,20
13,25,1,44,13,9,7,48,20
12,25,1,47,12,8,7,47,20
12,25,1,47,12,8,5,48,19
12,24,1,50,12,9,5,47,19
11,24,1,50,12,9,4,49,18
10,25,1,49,14,10,5,49,18
9,24,1,51,14,10,5,49,18
8,25,1,48,14,10,5,51,17
7,27,1,47,14,9,5,50,16
8,28,1,43,15,9,5,51,17
8,29,1,44,15,8,5,52,15
7,30,1,44,15,8,5,52,17
8,30,1,44,15,7,7,54,16
10,28,1,45,14,7,7,55,15
10,26,1,47,14,7,7,55,14
12,25,1,47,14,7,7,56,12
13,24,1,49,14,7,7,56,13
13,25,1,49,13,8,7,57,12
14,24,1,49,13,8,7,56,12
15,25,1,49,12,8,7,57,11
15,24,1,50,12,6,9,57,11
16,22,2,50,13,5,10,59,11
17,21,2,51,14,4,10,59,11
18,20,2,51,14,5,10,59,12
19,19,2,51,14,5,10,57,12
20,17,2,52,14,5,10,56,12
18,18,2,53,13,5,10,56,12
20,15,2,53,14,5,9,56,12
19,14,2,53,13,5,9,55,12
19,13,2,55,13,5,9,56,12
18,15,2,53,13,6,7,55,12
16,14,2,55,13,6,7,56,12
17,14,2,54,14,6,7,55,12
15,14,2,54,15,6,8,55,12
15,13,2,55,15,6,8,53,12
14,12,2,56,16,7,7,53,12
14,12,2,56,16,7,7,52,12
13,11,2,57,17,7,7,51,12
13,11,2,56,18,8,4,51,12
12,11,2,54,19,8,4,49,12
12,11,2,58,18,8,3,48,13
10,12,2,54,18,8,3,48,13
8,11,2,56,19,9,2,46,14
9,11,2,54,20,8,2,46,14
10,10,1,54,20,10,3,45,15
10,11,1,53,20,10,3,45,16
11,9,0,53,20,11,3,45,17
12,8,0,52,20,9,3,45,17
12,9,0,51,20,9,3,45,19
11,7,0,53,20,9,3,43,20
12,7,0,51,20,9,3,43,21
10,7,1,52,20,10,2,41,23
