run,type,module,name,attrname,attrvalue,value
General-0-20190312-21:26:03-12926,param,,,*.rsu[6].mobility.x,510,
General-0-20190312-21:26:03-12926,param,,,*.rsu[6].mobility.y,420,
General-0-20190312-21:26:03-12926,param,,,*.rsu[6].mobility.z,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[7].mobility.x,350,
General-0-20190312-21:26:03-12926,param,,,*.rsu[7].mobility.y,350,
General-0-20190312-21:26:03-12926,param,,,*.rsu[7].mobility.z,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[8].mobility.x,360,
General-0-20190312-21:26:03-12926,param,,,*.rsu[8].mobility.y,360,
General-0-20190312-21:26:03-12926,param,,,*.rsu[8].mobility.z,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[9].mobility.x,370,
General-0-20190312-21:26:03-12926,param,,,*.rsu[9].mobility.y,370,
General-0-20190312-21:26:03-12926,param,,,*.rsu[9].mobility.z,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[10].mobility.x,380,
General-0-20190312-21:26:03-12926,param,,,*.rsu[10].mobility.y,380,
General-0-20190312-21:26:03-12926,param,,,*.rsu[10].mobility.z,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-0-20190312-21:26:03-12926,param,,,*.rsu[2..10].applType,"""RandomForestApp.VirtualServer""",
General-0-20190312-21:26:03-12926,param,,,*.rsu[2].appl.computationPower,9.8,
General-0-20190312-21:26:03-12926,param,,,*.rsu[3].appl.computationPower,13.8,
General-0-20190312-21:26:03-12926,param,,,*.rsu[4].appl.computationPower,2.93,
General-0-20190312-21:26:03-12926,param,,,*.rsu[5].appl.computationPower,43.1,
General-0-20190312-21:26:03-12926,param,,,*.rsu[6].appl.computationPower,25.8,
General-0-20190312-21:26:03-12926,param,,,*.rsu[7].appl.computationPower,13.4,
General-0-20190312-21:26:03-12926,param,,,*.rsu[8].appl.computationPower,20.9,
General-0-20190312-21:26:03-12926,param,,,*.rsu[9].appl.computationPower,38.2,
General-0-20190312-21:26:03-12926,param,,,*.rsu[10].appl.computationPower,17.6,
General-0-20190312-21:26:03-12926,param,,,*.rsu[2..10].appl.minNumCars,7,
General-0-20190312-21:26:03-12926,param,,,*.rsu[2..10].appl.loadBalancerId,2,
General-0-20190312-21:26:03-12926,param,,,*.rsu[2].appl.id,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[3].appl.id,1,
General-0-20190312-21:26:03-12926,param,,,*.rsu[4].appl.id,2,
General-0-20190312-21:26:03-12926,param,,,*.rsu[5].appl.id,3,
General-0-20190312-21:26:03-12926,param,,,*.rsu[6].appl.id,4,
General-0-20190312-21:26:03-12926,param,,,*.rsu[7].appl.id,5,
General-0-20190312-21:26:03-12926,param,,,*.rsu[8].appl.id,6,
General-0-20190312-21:26:03-12926,param,,,*.rsu[9].appl.id,7,
General-0-20190312-21:26:03-12926,param,,,*.rsu[10].appl.id,8,
General-0-20190312-21:26:03-12926,param,,,*.rsu[2..10].appl.penaltyInterval,5,
General-0-20190312-21:26:03-12926,param,,,*.rsu[2..10].appl.expectedReliability,1,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.id,2,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.upperBound,8,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.lowerBound,0,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.expectedComputationWork,50,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.replicationFactor,1,
General-0-20190312-21:26:03-12926,param,,,*.rsu[1].appl.reputationOn,false,
General-1-20190312-21:26:15-12926,runattr,,,configname,General,
General-1-20190312-21:26:15-12926,runattr,,,datetime,20190312-21:26:15,
General-1-20190312-21:26:15-12926,runattr,,,experiment,General,
General-1-20190312-21:26:15-12926,runattr,,,inifile,omnetpp.ini,
General-1-20190312-21:26:15-12926,runattr,,,iterationvars,$0=14,
General-1-20190312-21:26:15-12926,runattr,,,iterationvarsf,14-,
General-1-20190312-21:26:15-12926,runattr,,,measurement,$0=14,
General-1-20190312-21:26:15-12926,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-1-20190312-21:26:15-12926,runattr,,,processid,12926,
General-1-20190312-21:26:15-12926,runattr,,,repetition,0,
General-1-20190312-21:26:15-12926,runattr,,,replication,#0,
General-1-20190312-21:26:15-12926,runattr,,,resultdir,results,
General-1-20190312-21:26:15-12926,runattr,,,runnumber,1,
General-1-20190312-21:26:15-12926,runattr,,,seedset,5,
General-1-20190312-21:26:15-12926,param,,,MCPasubioScenario.numRsu,10,
General-1-20190312-21:26:15-12926,param,,,**.debug,false,
General-1-20190312-21:26:15-12926,param,,,**.coreDebug,false,
General-1-20190312-21:26:15-12926,param,,,*.playgroundSizeX,3000m,
General-1-20190312-21:26:15-12926,param,,,*.playgroundSizeY,3000m,
General-1-20190312-21:26:15-12926,param,,,*.playgroundSizeZ,100m,
General-1-20190312-21:26:15-12926,param,,,*.annotations.draw,true,
General-1-20190312-21:26:15-12926,param,,,*.manager.updateInterval,1s,
General-1-20190312-21:26:15-12926,param,,,*.manager.host,"""localhost""",
General-1-20190312-21:26:15-12926,param,,,*.manager.port,9999,
General-1-20190312-21:26:15-12926,param,,,*.manager.autoShutdown,true,
General-1-20190312-21:26:15-12926,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-1-20190312-21:26:15-12926,param,,,*.rsu[*].appl.headerLength,80 bit,
General-1-20190312-21:26:15-12926,param,,,*.rsu[*].appl.sendBeacons,false,
General-1-20190312-21:26:15-12926,param,,,*.rsu[*].appl.dataOnSch,false,
General-1-20190312-21:26:15-12926,param,,,*.rsu[*].appl.beaconInterval,1s,
General-1-20190312-21:26:15-12926,param,,,*.connectionManager.sendDirect,true,
General-1-20190312-21:26:15-12926,param,,,*.connectionManager.maxInterfDist,2600m,
General-1-20190312-21:26:15-12926,param,,,*.connectionManager.drawMaxIntfDist,false,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-1-20190312-21:26:15-12926,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-1-20190312-21:26:15-12926,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-1-20190312-21:26:15-12926,param,,,*.node[*].appl.headerLength,80 bit,
General-1-20190312-21:26:15-12926,param,,,*.node[*].appl.sendBeacons,false,
General-1-20190312-21:26:15-12926,param,,,*.node[*].appl.dataOnSch,false,
General-1-20190312-21:26:15-12926,param,,,*.node[*].appl.beaconInterval,1s,
General-1-20190312-21:26:15-12926,param,,,*.node[*].veinsmobilityType.debug,true,
General-1-20190312-21:26:15-12926,param,,,*.node[*].veinsmobility.x,-1,
General-1-20190312-21:26:15-12926,param,,,*.node[*].veinsmobility.y,-1,
General-1-20190312-21:26:15-12926,param,,,*.node[*].veinsmobility.z,1.895,
General-1-20190312-21:26:15-12926,param,,,*.rsu[0].mobility.x,500,
General-1-20190312-21:26:15-12926,param,,,*.rsu[0].mobility.y,500,
General-1-20190312-21:26:15-12926,param,,,*.rsu[0].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].mobility.x,400,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].mobility.y,400,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2].mobility.x,410,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2].mobility.y,410,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[3].mobility.x,420,
General-1-20190312-21:26:15-12926,param,,,*.rsu[3].mobility.y,420,
General-1-20190312-21:26:15-12926,param,,,*.rsu[3].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[4].mobility.x,500,
General-1-20190312-21:26:15-12926,param,,,*.rsu[4].mobility.y,500,
General-1-20190312-21:26:15-12926,param,,,*.rsu[4].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[5].mobility.x,450,
General-1-20190312-21:26:15-12926,param,,,*.rsu[5].mobility.y,450,
General-1-20190312-21:26:15-12926,param,,,*.rsu[5].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[6].mobility.x,510,
General-1-20190312-21:26:15-12926,param,,,*.rsu[6].mobility.y,420,
General-1-20190312-21:26:15-12926,param,,,*.rsu[6].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[7].mobility.x,350,
General-1-20190312-21:26:15-12926,param,,,*.rsu[7].mobility.y,350,
General-1-20190312-21:26:15-12926,param,,,*.rsu[7].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[8].mobility.x,360,
General-1-20190312-21:26:15-12926,param,,,*.rsu[8].mobility.y,360,
General-1-20190312-21:26:15-12926,param,,,*.rsu[8].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[9].mobility.x,370,
General-1-20190312-21:26:15-12926,param,,,*.rsu[9].mobility.y,370,
General-1-20190312-21:26:15-12926,param,,,*.rsu[9].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[10].mobility.x,380,
General-1-20190312-21:26:15-12926,param,,,*.rsu[10].mobility.y,380,
General-1-20190312-21:26:15-12926,param,,,*.rsu[10].mobility.z,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-1-20190312-21:26:15-12926,param,,,*.rsu[2..10].applType,"""RandomForestApp.VirtualServer""",
General-1-20190312-21:26:15-12926,param,,,*.rsu[2].appl.computationPower,9.8,
General-1-20190312-21:26:15-12926,param,,,*.rsu[3].appl.computationPower,13.8,
General-1-20190312-21:26:15-12926,param,,,*.rsu[4].appl.computationPower,2.93,
General-1-20190312-21:26:15-12926,param,,,*.rsu[5].appl.computationPower,43.1,
General-1-20190312-21:26:15-12926,param,,,*.rsu[6].appl.computationPower,25.8,
General-1-20190312-21:26:15-12926,param,,,*.rsu[7].appl.computationPower,13.4,
General-1-20190312-21:26:15-12926,param,,,*.rsu[8].appl.computationPower,20.9,
General-1-20190312-21:26:15-12926,param,,,*.rsu[9].appl.computationPower,38.2,
General-1-20190312-21:26:15-12926,param,,,*.rsu[10].appl.computationPower,17.6,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2..10].appl.minNumCars,14,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2..10].appl.loadBalancerId,2,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2].appl.id,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[3].appl.id,1,
General-1-20190312-21:26:15-12926,param,,,*.rsu[4].appl.id,2,
General-1-20190312-21:26:15-12926,param,,,*.rsu[5].appl.id,3,
General-1-20190312-21:26:15-12926,param,,,*.rsu[6].appl.id,4,
General-1-20190312-21:26:15-12926,param,,,*.rsu[7].appl.id,5,
General-1-20190312-21:26:15-12926,param,,,*.rsu[8].appl.id,6,
General-1-20190312-21:26:15-12926,param,,,*.rsu[9].appl.id,7,
General-1-20190312-21:26:15-12926,param,,,*.rsu[10].appl.id,8,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2..10].appl.penaltyInterval,5,
General-1-20190312-21:26:15-12926,param,,,*.rsu[2..10].appl.expectedReliability,1,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].applType,"""RandomForestApp.LoadBalancer""",
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.id,2,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.upperBound,8,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.lowerBound,0,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.timeOutIntervals,3,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.expectedComputationWork,50,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.replicationFactor,1,
General-1-20190312-21:26:15-12926,param,,,*.rsu[1].appl.reputationOn,false,
General-2-20190312-21:26:25-12926,runattr,,,configname,General,
General-2-20190312-21:26:25-12926,runattr,,,datetime,20190312-21:26:25,
General-2-20190312-21:26:25-12926,runattr,,,experiment,General,
General-2-20190312-21:26:25-12926,runattr,,,inifile,omnetpp.ini,
General-2-20190312-21:26:25-12926,runattr,,,iterationvars,$0=20,
General-2-20190312-21:26:25-12926,runattr,,,iterationvarsf,20-,
General-2-20190312-21:26:25-12926,runattr,,,measurement,$0=20,
General-2-20190312-21:26:25-12926,runattr,,,network,PasubioSimulation.MCPasubioScenario,
General-2-20190312-21:26:25-12926,runattr,,,processid,12926,
General-2-20190312-21:26:25-12926,runattr,,,repetition,0,
General-2-20190312-21:26:25-12926,runattr,,,replication,#0,
General-2-20190312-21:26:25-12926,runattr,,,resultdir,results,
General-2-20190312-21:26:25-12926,runattr,,,runnumber,2,
General-2-20190312-21:26:25-12926,runattr,,,seedset,5,
General-2-20190312-21:26:25-12926,param,,,MCPasubioScenario.numRsu,10,
General-2-20190312-21:26:25-12926,param,,,**.debug,false,
General-2-20190312-21:26:25-12926,param,,,**.coreDebug,false,
General-2-20190312-21:26:25-12926,param,,,*.playgroundSizeX,3000m,
General-2-20190312-21:26:25-12926,param,,,*.playgroundSizeY,3000m,
General-2-20190312-21:26:25-12926,param,,,*.playgroundSizeZ,100m,
General-2-20190312-21:26:25-12926,param,,,*.annotations.draw,true,
General-2-20190312-21:26:25-12926,param,,,*.manager.updateInterval,1s,
General-2-20190312-21:26:25-12926,param,,,*.manager.host,"""localhost""",
General-2-20190312-21:26:25-12926,param,,,*.manager.port,9999,
General-2-20190312-21:26:25-12926,param,,,*.manager.autoShutdown,true,
General-2-20190312-21:26:25-12926,param,,,*.manager.launchConfig,"xmldoc(""pasubio.launchd.xml"")",
General-2-20190312-21:26:25-12926,param,,,*.rsu[*].appl.headerLength,80 bit,
General-2-20190312-21:26:25-12926,param,,,*.rsu[*].appl.sendBeacons,false,
General-2-20190312-21:26:25-12926,param,,,*.rsu[*].appl.dataOnSch,false,
General-2-20190312-21:26:25-12926,param,,,*.rsu[*].appl.beaconInterval,1s,
General-2-20190312-21:26:25-12926,param,,,*.connectionManager.sendDirect,true,
General-2-20190312-21:26:25-12926,param,,,*.connectionManager.maxInterfDist,2600m,
General-2-20190312-21:26:25-12926,param,,,*.connectionManager.drawMaxIntfDist,false,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.mac1609_4.useServiceChannel,false,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.mac1609_4.txPower,20mW,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.mac1609_4.bitrate,6Mbps,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.sensitivity,-89dBm,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.useThermalNoise,true,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.thermalNoise,-110dBm,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.decider,"xmldoc(""config.xml"")",
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.analogueModels,"xmldoc(""config.xml"")",
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.usePropagationDelay,true,
General-2-20190312-21:26:25-12926,param,,,*.**.nic.phy80211p.antenna,"xmldoc(""antenna.xml"", ""/root/Antenna[@id='monopole']"")",
General-2-20190312-21:26:25-12926,param,,,*.node[*].applType,"""RandomForestApp.NoAppCar""",
General-2-20190312-21:26:25-12926,param,,,*.node[*].appl.headerLength,80 bit,
General-2-20190312-21:26:25-12926,param,,,*.node[*].appl.sendBeacons,false,
General-2-20190312-21:26:25-12926,param,,,*.node[*].appl.dataOnSch,false,
General-2-20190312-21:26:25-12926,param,,,*.node[*].appl.beaconInterval,1s,
General-2-20190312-21:26:25-12926,param,,,*.node[*].veinsmobilityType.debug,true,
General-2-20190312-21:26:25-12926,param,,,*.node[*].veinsmobility.x,-1,
General-2-20190312-21:26:25-12926,param,,,*.node[*].veinsmobility.y,-1,
General-2-20190312-21:26:25-12926,param,,,*.node[*].veinsmobility.z,1.895,
General-2-20190312-21:26:25-12926,param,,,*.rsu[0].mobility.x,500,
General-2-20190312-21:26:25-12926,param,,,*.rsu[0].mobility.y,500,
General-2-20190312-21:26:25-12926,param,,,*.rsu[0].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].mobility.x,400,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].mobility.y,400,
General-2-20190312-21:26:25-12926,param,,,*.rsu[1].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2].mobility.x,410,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2].mobility.y,410,
General-2-20190312-21:26:25-12926,param,,,*.rsu[2].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[3].mobility.x,420,
General-2-20190312-21:26:25-12926,param,,,*.rsu[3].mobility.y,420,
General-2-20190312-21:26:25-12926,param,,,*.rsu[3].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[4].mobility.x,500,
General-2-20190312-21:26:25-12926,param,,,*.rsu[4].mobility.y,500,
General-2-20190312-21:26:25-12926,param,,,*.rsu[4].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[5].mobility.x,450,
General-2-20190312-21:26:25-12926,param,,,*.rsu[5].mobility.y,450,
General-2-20190312-21:26:25-12926,param,,,*.rsu[5].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[6].mobility.x,510,
General-2-20190312-21:26:25-12926,param,,,*.rsu[6].mobility.y,420,
General-2-20190312-21:26:25-12926,param,,,*.rsu[6].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[7].mobility.x,350,
General-2-20190312-21:26:25-12926,param,,,*.rsu[7].mobility.y,350,
General-2-20190312-21:26:25-12926,param,,,*.rsu[7].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[8].mobility.x,360,
General-2-20190312-21:26:25-12926,param,,,*.rsu[8].mobility.y,360,
General-2-20190312-21:26:25-12926,param,,,*.rsu[8].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[9].mobility.x,370,
General-2-20190312-21:26:25-12926,param,,,*.rsu[9].mobility.y,370,
General-2-20190312-21:26:25-12926,param,,,*.rsu[9].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[10].mobility.x,380,
General-2-20190312-21:26:25-12926,param,,,*.rsu[10].mobility.y,380,
General-2-20190312-21:26:25-12926,param,,,*.rsu[10].mobility.z,0,
General-2-20190312-21:26:25-12926,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-2-20190312-21:26:25-12926,param,,,*.rsu[2..10].applType,"""RandomForestApp.VirtualServer""",
General-2-20190312-21:26:25-12926,param,,,*.rsu[2].appl.computationPower,9.8,
General-2-20190312-21:26:25-12926,param,,,*.rsu[3].appl.computationPower,13.8,
General-2-20190312-21:26:25-12926,param,,,*.rsu[4].appl.computationPower,2.93,
General-2-20190312-21:26:25-12926,param,,,*.rsu[5].appl.computationPower,43.1,
General-2-20190312-21:26:25-12926,param,,,*.rsu[6].appl.computationPower,25.8,
General-2-20190312-21:26:25-12926,param,,,*.rsu[7].appl.computationPower,13.4,
