run,type,module,name,attrname,attrvalue,value
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].mobility.x,510,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].mobility.y,420,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].mobility.x,350,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].mobility.y,350,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].mobility.x,360,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].mobility.y,360,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[9].mobility.x,370,
General-2-20190312-20:56:20-11959,param,,,*.rsu[9].mobility.y,370,
General-2-20190312-20:56:20-11959,param,,,*.rsu[9].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[10].mobility.x,380,
General-2-20190312-20:56:20-11959,param,,,*.rsu[10].mobility.y,380,
General-2-20190312-20:56:20-11959,param,,,*.rsu[10].mobility.z,0,
General-2-20190312-20:56:20-11959,param,,,*.rsu[0].applType,"""RandomForestApp.NoAppCar""",
General-2-20190312-20:56:20-11959,param,,,*.rsu[2..10].applType,"""RandomForestApp.VirtualServer""",
General-2-20190312-20:56:20-11959,param,,,*.rsu[2].appl.computationPower,9.8,
General-2-20190312-20:56:20-11959,param,,,*.rsu[3].appl.computationPower,13.8,
General-2-20190312-20:56:20-11959,param,,,*.rsu[4].appl.computationPower,2.93,
General-2-20190312-20:56:20-11959,param,,,*.rsu[5].appl.computationPower,43.1,
General-2-20190312-20:56:20-11959,param,,,*.rsu[6].appl.computationPower,25.8,
General-2-20190312-20:56:20-11959,param,,,*.rsu[7].appl.computationPower,13.4,
General-2-20190312-20:56:20-11959,param,,,*.rsu[8].appl.computationPower,20.9,
General-2-20190312-20:56:20-11959,param,,,*.rsu[9].appl.computationPower,38.2,
General-2-20190312-20:56:20-11959,param,,,*.rsu[10].appl.computationPower,17.6,
General-2-20190312-20:56:20-11959,param,,,*.rsu[2..10].appl.minNumCars,5,
